Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
MG_WS2024-2025_Mini-Test-Auswertung_01.pdf;289238;Johannes;Bröhl;319;"11.11.2024 20:56";Studienleistung_PV/MG_WS2024-2025_Mini-Test-Auswertung_01.pdf
MG_WS2024-2025_Mini-Test-Auswertung_02.pdf;246541;Johannes;Bröhl;251;"26.11.2024 11:13";Studienleistung_PV/MG_WS2024-2025_Mini-Test-Auswertung_02.pdf
MG_WS2024-2025_Mini-Test-Auswertung_03b.pdf;345489;Johannes;Bröhl;281;"09.12.2024 17:56";Studienleistung_PV/MG_WS2024-2025_Mini-Test-Auswertung_03b.pdf
MG_WS2024-2025_Mini-Test-Auswertung_04.pdf;346936;Johannes;Bröhl;253;"08.01.2025 13:50";Studienleistung_PV/MG_WS2024-2025_Mini-Test-Auswertung_04.pdf
MG_WS2024-2025_Mini-Test-Auswertung_05.pdf;340716;Johannes;Bröhl;110;"23.01.2025 11:40";Studienleistung_PV/MG_WS2024-2025_Mini-Test-Auswertung_05.pdf
MG_WS2024-2025_PV_final_5.pdf;196268;Johannes;Bröhl;89;"27.01.2025 12:17";Studienleistung_PV/MG_WS2024-2025_PV_final_5.pdf
PV_Uebungen_MathGrundl.pdf;63988;Hans-Peter;Beise;722;"02.10.2024 10:04";Studienleistung_PV/PV_Uebungen_MathGrundl.pdf
MathGrund_Beispielklausur_01.pdf;180499;Hans-Peter;Beise;397;"20.12.2024 15:03";Vorlesungsunterlagen/MathGrund_Beispielklausur_01.pdf
MathGrund_Beispielklausur_02.pdf;185803;Hans-Peter;Beise;284;"20.12.2024 15:03";Vorlesungsunterlagen/MathGrund_Beispielklausur_02.pdf
MathGrund_Beispielklausur_03.pdf;175588;Hans-Peter;Beise;262;"20.12.2024 15:03";Vorlesungsunterlagen/MathGrund_Beispielklausur_03.pdf
MG_Mini-Tests_Aufgabensammlung_Public.pdf;297320;Johannes;Bröhl;1211;"14.10.2024 13:45";Vorlesungsunterlagen/MG_Mini-Tests_Aufgabensammlung_Public.pdf
Skript_MathGrund_mitUebungen_2024-10-14.pdf;915462;Johannes;Bröhl;1625;"14.10.2024 13:44";Vorlesungsunterlagen/Skript_MathGrund_mitUebungen_2024-10-14.pdf
Skript_MathGrund.pdf;682622;Hans-Peter;Beise;916;"02.10.2024 10:12";Vorlesungsunterlagen/Skript_MathGrund.pdf
Notenverteilung_MG.png;24356;Hans-Peter;Beise;82;"13.03.2025 10:58";Notenverteilung_MG.png
