Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Modul_SK_WiSe24_25_Ablauf.pdf;349565;Romy;Thomm;325;"17.10.2024 15:02";Ablauf_Modul_Schlüsselkompetenzen/Modul_SK_WiSe24_25_Ablauf.pdf
Modul_SK_WiSe24_25_V1_Studienorganisation.pdf;619599;Romy;Thomm;415;"17.10.2024 06:13";Skript__Folien_zur_Veranstaltung/1_Folien_Studienorganisation/17.10.2024/Modul_SK_WiSe24_25_V1_Studienorganisation.pdf
Aufzeichnung_V2_31102024.pdf;120606;Romy;Thomm;248;"31.10.2024 14:12";Skript__Folien_zur_Veranstaltung/1_Folien_Studienorganisation/31.10.2024/Aufzeichnung_V2_31102024.pdf
Modul_SK_WiSe24_25_V2_Studienorganisation.pdf;993239;Romy;Thomm;290;"30.10.2024 15:42";Skript__Folien_zur_Veranstaltung/1_Folien_Studienorganisation/31.10.2024/Modul_SK_WiSe24_25_V2_Studienorganisation.pdf
Aufzeichnung_V3_07112024.pdf;113609;Romy;Thomm;210;"08.11.2024 10:03";Skript__Folien_zur_Veranstaltung/2_Folien_Lernen_+_Ressourcen/07.11.2024/Aufzeichnung_V3_07112024.pdf
Modul_SK_WiSe24_25_V3_Lernen.pdf;1110024;Romy;Thomm;347;"07.11.2024 06:17";Skript__Folien_zur_Veranstaltung/2_Folien_Lernen_+_Ressourcen/07.11.2024/Modul_SK_WiSe24_25_V3_Lernen.pdf
Modul_SK_WiSe24_25_V4_Lernen.pdf;1328531;Romy;Thomm;225;"20.11.2024 20:39";Skript__Folien_zur_Veranstaltung/2_Folien_Lernen_+_Ressourcen/21.11.2024/Modul_SK_WiSe24_25_V4_Lernen.pdf
Aufzeichnung_V5_05122024.pdf;107557;Romy;Thomm;175;"09.12.2024 10:13";Skript__Folien_zur_Veranstaltung/3_Folien_Zeit-_+_Selbstmanagement/05.12.2024/Aufzeichnung_V5_05122024.pdf
Modul_SK_WiSe24_25_V5_Zeitmanagement.pdf;1481997;Romy;Thomm;285;"09.12.2024 10:13";Skript__Folien_zur_Veranstaltung/3_Folien_Zeit-_+_Selbstmanagement/05.12.2024/Modul_SK_WiSe24_25_V5_Zeitmanagement.pdf
Modul_SK_WiSe24_25_V6_Zeitmanagement.pdf;2139504;Romy;Thomm;294;"11.12.2024 17:07";Skript__Folien_zur_Veranstaltung/3_Folien_Zeit-_+_Selbstmanagement/12.12.2024/Modul_SK_WiSe24_25_V6_Zeitmanagement.pdf
Modul_SK_WiSe24_25_V8_Pruefungsvorbereitung.pdf;1344604;Romy;Thomm;211;"08.01.2025 19:02";Skript__Folien_zur_Veranstaltung/4_Prüfungsvorbereitung_+_Lernmotivation/09.01.2025/Modul_SK_WiSe24_25_V8_Pruefungsvorbereitung.pdf
Aufzeichnung_V7_19122024.pdf;113576;Romy;Thomm;94;"20.12.2024 16:28";Skript__Folien_zur_Veranstaltung/4_Prüfungsvorbereitung_+_Lernmotivation/19.12.2024/Aufzeichnung_V7_19122024.pdf
Modul_SK_WiSe24_25_V7_Pruefungsvorbereitung.pdf;2100718;Romy;Thomm;219;"20.12.2024 15:52";Skript__Folien_zur_Veranstaltung/4_Prüfungsvorbereitung_+_Lernmotivation/19.12.2024/Modul_SK_WiSe24_25_V7_Pruefungsvorbereitung.pdf
Hinweise_Übung_Schlüsselkompetenzen.pdf;87490;Romy;Thomm;392;"18.10.2024 10:35";Übungen/Hinweise_Übung_Schlüsselkompetenzen.pdf
Sonderübungsblatt_Lernen_24112024.pdf;113572;Romy;Thomm;190;"24.11.2024 10:34";Übungen/Sonderübung/Sonderübungsblatt_Lernen_24112024.pdf
Übungsblatt_1_Studienorganisation_18102024.pdf;147982;Romy;Thomm;462;"18.10.2024 10:37";Übungen/Übungsblatt_1_Studienorganisation/Übungsblatt_1_Studienorganisation_18102024.pdf
Übungsblatt_2_Lernen_08112024.pdf;105406;Romy;Thomm;362;"08.11.2024 09:49";Übungen/Übungsblatt_2_Lernen_+_Ressourcen/Übungsblatt_2_Lernen_08112024.pdf
Übungsblatt_3_Zeitmanagement_13122024.pdf;108404;Romy;Thomm;281;"13.12.2024 17:35";Übungen/Übungsblatt_3_Zeit-_und_Selbstmanagement/Übungsblatt_3_Zeitmanagement_13122024.pdf
