Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
V01_System_Administration.pdf;727916;Jörn;Schneider;702;"15.10.2024 11:37";Allgemeiner_Dateiordner/V01_System_Administration.pdf
V02_System_Administration.pdf;925298;Jörn;Schneider;465;"22.10.2024 18:08";Allgemeiner_Dateiordner/V02_System_Administration.pdf
V03_System_Administration_a.pdf;899708;Jörn;Schneider;333;"05.11.2024 14:24";Allgemeiner_Dateiordner/V03_System_Administration_a.pdf
V03_System_Administration_b.pdf;1247118;Jörn;Schneider;289;"05.11.2024 14:24";Allgemeiner_Dateiordner/V03_System_Administration_b.pdf
V04_System_Administration.pdf;1743832;Jörn;Schneider;302;"12.11.2024 17:28";Allgemeiner_Dateiordner/V04_System_Administration.pdf
V05_System_Administration.pdf;1205757;Jörn;Schneider;193;"03.12.2024 11:07";Allgemeiner_Dateiordner/V05_System_Administration.pdf
V06_System_Administration_a.pdf;592962;Jörn;Schneider;191;"03.12.2024 11:07";Allgemeiner_Dateiordner/V06_System_Administration_a.pdf
V06_System_Administration_b.pdf;143962;Jörn;Schneider;163;"03.12.2024 11:07";Allgemeiner_Dateiordner/V06_System_Administration_b.pdf
V07_System_Administration.pdf;571942;Jörn;Schneider;196;"17.12.2024 11:21";Allgemeiner_Dateiordner/V07_System_Administration.pdf
V08_System_Administration.pdf;309855;Jörn;Schneider;154;"07.01.2025 11:24";Allgemeiner_Dateiordner/V08_System_Administration.pdf
V09_System_Administration.pdf;613229;Jörn;Schneider;181;"07.01.2025 11:24";Allgemeiner_Dateiordner/V09_System_Administration.pdf
V10_System_Administration.pdf;298741;Jörn;Schneider;196;"14.01.2025 18:04";Allgemeiner_Dateiordner/V10_System_Administration.pdf
PV_Systemadministration_WS2024-2025.pdf;47188;Johannes;Bröhl;814;"02.10.2024 14:43";Orga_+_Infos_PV/PV_Systemadministration_WS2024-2025.pdf
vm-anleitung2024-10-17.pdf;1034187;Johannes;Bröhl;782;"17.10.2024 19:03";Orga_+_Infos_PV/vm-anleitung2024-10-17.pdf
disk512.vmdk;131072;Yevheniy;Yaroshenko;75;"01.12.2022 18:04";Übungsblätter/disk512.vmdk
mime.types.txt;22275;Yevheniy;Yaroshenko;372;"19.10.2023 17:28";Übungsblätter/mime.types.txt
U01_vi.pdf;77407;Yevheniy;Yaroshenko;1218;"15.10.2024 15:58";Übungsblätter/U01_vi.pdf
U02_bash.pdf;96386;Yevheniy;Yaroshenko;895;"22.10.2024 15:51";Übungsblätter/U02_bash.pdf
U03_Shell-Programmierung.pdf;130100;Yevheniy;Yaroshenko;598;"05.11.2024 19:53";Übungsblätter/U03_Shell-Programmierung.pdf
U04_Prozesse.pdf;105706;Yevheniy;Yaroshenko;495;"20.11.2024 02:13";Übungsblätter/U04_Prozesse.pdf
U05_Partitionen_Dateisysteme_Rechte.pdf;151895;Yevheniy;Yaroshenko;454;"10.12.2024 17:28";Übungsblätter/U05_Partitionen_Dateisysteme_Rechte.pdf
U06_Benutzerverwaltung.pdf;57462;Yevheniy;Yaroshenko;351;"21.12.2024 19:07";Übungsblätter/U06_Benutzerverwaltung.pdf
ue05.vdi;2097152;Yevheniy;Yaroshenko;48;"01.12.2022 18:04";Übungsblätter/ue05.vdi
