Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Aufgabensammlung.pdf;3891693;Kevin;Tittebrandt;2134;"14.10.2024 06:52";Allgemeiner_Dateiordner/Aufgabensammlung.pdf
Notenverteilung_TI_WS_2425.png;224038;Kevin;Tittebrandt;241;"07.02.2025 13:16";Allgemeiner_Dateiordner/Notenverteilung_TI_WS_2425.png
Pruefungsvorleistung.pdf;55908;Kevin;Tittebrandt;777;"14.10.2024 06:52";Allgemeiner_Dateiordner/Pruefungsvorleistung.pdf
PV_TI_WS_2425_Test_4.pdf;111547;Kevin;Tittebrandt;1123;"22.11.2024 11:42";Allgemeiner_Dateiordner/PV_TI_WS_2425_Test_4.pdf
Vorlesungsunterlagen.pdf;161233676;Kevin;Tittebrandt;584;"11.10.2024 13:33";Allgemeiner_Dateiordner/Vorlesungsunterlagen.pdf
WS2022_23__TI_Beispiel_Klausur.pdf;589782;Kevin;Tittebrandt;497;"21.12.2023 08:10";Allgemeiner_Dateiordner/WS2022_23__TI_Beispiel_Klausur.pdf
4x3-Registersatz.circ;31006;Kevin;Tittebrandt;96;"11.10.2024 13:34";Allgemeiner_Dateiordner/Logisim/4x3-Registersatz.circ
Logisim__Bausteine.zip;26095;Kevin;Tittebrandt;79;"11.10.2024 13:34";Allgemeiner_Dateiordner/Logisim/Logisim__Bausteine.zip
Logisim__Latches_Flipflops.zip;32667;Kevin;Tittebrandt;79;"11.10.2024 13:34";Allgemeiner_Dateiordner/Logisim/Logisim__Latches_Flipflops.zip
logisim-generic-2.7.1.jar;6933898;Kevin;Tittebrandt;89;"11.10.2024 13:34";Allgemeiner_Dateiordner/Logisim/logisim-generic-2.7.1.jar
